id,userId,text
60d21b4367d0d8992e610c7e,NULL,"short-coated tan dog"
60d21b4467d0d8992e610c7f,NULL,"puppy drinking out of the portable travel water bo..."
60d21b4667d0d8992e610c85,NULL,"adult Labrador retriever"
60d21b4867d0d8992e610c8d,NULL,"Best friends portraits, dogs. brown boxer dog"
60d21b4a67d0d8992e610c91,NULL,"First of all, I wish you could smell what I was sm..."
60d21b4d67d0d8992e610c9c,NULL,"Puppies love!  two white and black dogs"
60d21b4e67d0d8992e610c9e,NULL,"short-coated tan dog on grass field"
60d21b4e67d0d8992e610ca0,NULL,"Beautiful photo of one of my  dogs her name is Rox..."
60d21b5267d0d8992e610caa,NULL,"white shih tzu near blooming cherry blossoms"
60d21b5567d0d8992e610cb3,NULL,"Helga und Helmut two adult white and black bearded..."
60d21b5667d0d8992e610cb5,NULL,"white and tan korgi"
60d21b5967d0d8992e610cbf,NULL,"adult short-coated gray and white dog in car"
60d21b5b67d0d8992e610cc3,NULL,"selective focus photography of dog on green grass ..."
60d21b5b67d0d8992e610cc5,NULL,"focus photography of long-coated tan and black dog"
60d21b5e67d0d8992e610ccd,NULL,"two dogs playing on dandelion fields"
60d21b5f67d0d8992e610cd1,NULL,"gray cat lying on black textile"
60d21b6167d0d8992e610cd5,NULL,"nova scottia duck tolling retriever showing tongue..."
60d21b6167d0d8992e610cd7,NULL,"long-coated black and brown dog lying on snow"
60d21b6467d0d8992e610ce0,NULL,"yawning white and brown short coated puppy"
60d21b6567d0d8992e610ce1,NULL,"low-angle photography of building during daytime g..."
60d21b6667d0d8992e610ce4,NULL,"Nemo's smiling portrait brown short coated dog lyi..."
60d21b6867d0d8992e610cea,NULL,"woman holding dog beside man holding dog leaning o..."
60d21b6867d0d8992e610ceb,NULL,"eye color Odd-eye Siberian husky"
60d21b6867d0d8992e610cec,NULL,"Little Street Dog selective focus photography of s..."
60d21b6a67d0d8992e610cf0,NULL,"done with Elizabethan cone"
60d21b6b67d0d8992e610cf4,NULL,"Taken in Devils Den in Fayetteville, Arkansas with..."
60d21b6c67d0d8992e610cf7,NULL,"two black and white dogs sitting on white surface"
60d21b6c67d0d8992e610cf8,NULL,"Dog Days photo of man driving a car with two dog w..."
60d21b6f67d0d8992e610cfe,NULL,"Two dogs playing on the beach black and gray dog o..."
60d21b6f67d0d8992e610cff,NULL,"French Bulldog Puppy with a red bow black pug pupp..."
60d21b6f67d0d8992e610d00,NULL,"Angels woman hugging white samoyed dogs"
60d21b7067d0d8992e610d01,NULL,"Cute Doggo long-coated brown dog looking up on peo..."
60d21b7167d0d8992e610d05,NULL,"Pet’s happinness short-coated brown and white dog ..."
60d21b7367d0d8992e610d0b,NULL,"short coat white dog"
60d21b7567d0d8992e610d0f,NULL,"woman standing near green leafed trees"
60d21b7767d0d8992e610d15,NULL,"Two dogs playing on the grass with a plastic bottl..."
60d21b7967d0d8992e610d1b,NULL,"5 week old Eurasier puppies in a basket German she..."
60d21b7b67d0d8992e610d20,NULL,"Love & Mojitos red and green neon signage"
60d21b7c67d0d8992e610d23,NULL,"person playing with puppy during winter"
60d21b7d67d0d8992e610d27,NULL,"white dog on ground"
60d21b8267d0d8992e610d34,NULL,"My lovely dog - Ron short-coated brown and black d..."
60d21b8467d0d8992e610d3a,NULL,"@adventure.yuki fall portrait closeup photo of bla..."
60d21b8d67d0d8992e610d54,NULL,"Puppy Portrait closeup photography of brown and wh..."
60d21b9067d0d8992e610d5c,NULL,"we don’t get to spend a lot of time at our family ..."
60d21b9267d0d8992e610d61,NULL,"grayscale photography of dog"
60d21b9467d0d8992e610d69,NULL,"@lilwaynethefrenchie nuff said. short-coated white..."
60d21b9567d0d8992e610d6a,NULL,"Nothing better than relaxing in the sunshine on a ..."
60d21b9a67d0d8992e610d79,NULL,"Met a couple in the park and asked if I could phot..."
60d21b9a67d0d8992e610d7a,NULL,"short-coated black dog"
60d21b9b67d0d8992e610d7d,NULL,"Follow me on instagram http://instagram.com/mladen..."
60d21b9f67d0d8992e610d87,NULL,"Women walking dogs in a city black pug and brown a..."
60d21ba067d0d8992e610d8b,NULL,"Crystal Lake - Patrick Hendry two adult black and ..."
60d21ba667d0d8992e610d9c,NULL,"cockapoo puppy looking like a teddy bear wearing c..."
60d21bac67d0d8992e610dac,NULL,"gray concrete tunnel with light"
60d21bad67d0d8992e610daf,NULL,"Gratitude short-coated tan dog on seashore"
60d21baf67d0d8992e610db6,NULL,"long-coated tan dog lying on floor"
60d21bb167d0d8992e610dbc,NULL,"short-coated white and brown dog on rock"
60d21bb267d0d8992e610dbf,NULL,"Pyrenean mountain dog white long coated dog on red..."
60d21bb367d0d8992e610dc2,NULL,"brown dog on seashore during daytimew"
60d21bb467d0d8992e610dc7,NULL,"@adventure.yuki splash run dog running on flooded ..."
60d21bb867d0d8992e610dd3,NULL,"two white and brown dogs"
60d21bb967d0d8992e610dd6,NULL,"medium-coated white and black dog"
60d21bba67d0d8992e610dd7,NULL,"Shane holding the dog in a "No Pets" area! Breakin..."
60d21bbb67d0d8992e610dda,NULL,"short-coated beige dog"
60d21bbc67d0d8992e610ddc,NULL,"brown short coated dog near brown wooden chair"
60d21bbd67d0d8992e610ddf,NULL,"white and gray concrete hallway"
60d21bbe67d0d8992e610de2,NULL,"Ride tan puppy inside car"
60d21bbf67d0d8992e610de7,NULL,"@adventure.yuki sleepy black Labrador lying on ora..."
60d21bc067d0d8992e610dea,NULL,"a K9 biting the handler for the demonstration  wom..."
60d21bc267d0d8992e610def,NULL,"@adventure.yuki bird watching black dog running ne..."
60d21bc567d0d8992e610df8,NULL,"Cooper in the Wild dog standing on body of water"
60d21bc667d0d8992e610dfa,NULL,"two brown short coat medium ddogs"
60d21bc667d0d8992e610dfc,NULL,"two brown and black dogs sitting on green grass fi..."
60d21bc767d0d8992e610dfe,NULL,"Two lovely golden retrievers enjoying nature and t..."
60d21bc767d0d8992e610dff,NULL,"closeup photo of dogs face"
60d21bca67d0d8992e610e07,NULL,"Border Collie Pup 6 weeks old. Southland New Zeala..."
60d21bca67d0d8992e610e09,NULL,"adult short-coated tan dog standing beside brown a..."
60d21bcb67d0d8992e610e0a,NULL,"dog resting in front of window"
60d21bcb67d0d8992e610e0c,NULL,"Follow me on instagram http://instagram.com/mladen..."
60d21bcc67d0d8992e610e0e,NULL,"Just Hanging Around Dachshund resting on white han..."
60d21bcd67d0d8992e610e10,NULL,"shallow focus photo of short-coated gray dog"
60d21bcd67d0d8992e610e12,NULL,"man standing on shore"
60d21bce67d0d8992e610e13,NULL,"beautiful white cat with yellow eyes white cat loo..."
60d21bce67d0d8992e610e14,NULL,"Wild Mongolian dogs drenched after a thunderstorm ..."
60d21bd167d0d8992e610e1d,NULL,"Toshi wearing a knit sweater. black pug with gray ..."
60d21bd267d0d8992e610e22,NULL,"Under the bridge with dogs woman in white long sle..."
60d21bd367d0d8992e610e25,NULL,"Being a proud owner of a frenchie... That means lo..."
60d21bd467d0d8992e610e26,NULL,"brown and white short coated puppy lying on grass ..."
60d21bd567d0d8992e610e2b,NULL,"@adventure.yuki sisters two small and adult dog on..."
60d21bd867d0d8992e610e32,NULL,"Mountain Puppy"
60d21bd867d0d8992e610e34,NULL,"Dog day out short-coated brown dog"
60d21bda67d0d8992e610e39,NULL,"long-coat brown and white dog in close-up photogra..."
60d21bdc67d0d8992e610e3f,NULL,"Father & Son dog covering puppy in chest"
60d21bdc67d0d8992e610e40,NULL,"Dogs live at the beach two brown dogs on beach"
60d21bdd67d0d8992e610e43,NULL,"selective focus photography of short-coated brown ..."
60d21bde67d0d8992e610e45,NULL,"Happy Barrel brown short-coated dog"
60d21bdf67d0d8992e610e4a,NULL,"brown metal dog wall decor"
60d21be067d0d8992e610e4b,NULL,"When the dog looks at you, the dog is not thinking..."
60d21be067d0d8992e610e4c,NULL,"woman playing with the dog"
60d21be167d0d8992e610e4f,NULL,"I’m a pizza delivery driver. I parked my car acros..."
60d21be167d0d8992e610e50,NULL,"man in black backpack"
60d21be367d0d8992e610e54,NULL,"dog on shore near body of water"
60d21be367d0d8992e610e57,NULL,"short-coated black dog"
60d21be967d0d8992e610e69,NULL,"What are you looking for? grayscale photo of opene..."
60d21bea67d0d8992e610e6a,NULL,"close-up photo of white English Bulldog"
60d21bea67d0d8992e610e6c,NULL,"person in black shorts sitting on floor"
60d21bf067d0d8992e610e7f,NULL,"@adventure.yuki avenue shallow focus photography o..."
60d21bf567d0d8992e610e8f,NULL,"two brown puppies"
60d21bf767d0d8992e610e95,NULL,"Winter in Malibu is for the dogs two white and bla..."
60d21bf867d0d8992e610e98,NULL,"black and white Husky"
60d21bfb67d0d8992e610ea0,NULL,"dog lying with flowers on hands"
60d21bfb67d0d8992e610ea2,NULL,"person holding leaf beside dog"
60d21bfc67d0d8992e610ea4,NULL,"short-coated tan dog on grass field"
60d21bfe67d0d8992e610eac,NULL,"Black dog with a Nike soccer ball. black and white..."
